Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
963,2,29/01/2013,9609,1017,1,0,0,0
859,2,13/05/2014,6670,668,1,0,0,0
534,4,22/08/2013,4967,422,1,0,0,1
948,1,18/05/2015,8301,2169,1,1,0,0
819,3,17/12/2014,8889,631,1,1,0,0
1007,4,25/04/2013,6387,760,1,1,0,0
435,1,20/10/2014,4196,485,1,1,0,0
232,3,16/01/2013,0,0,0,0,0,0
682,7,19/10/2014,7461,1268,1,0,0,0
1056,7,20/01/2013,0,0,0,0,0,0
671,1,17/02/2014,6990,710,1,1,0,0
678,3,22/05/2013,5613,717,1,0,0,0
436,5,01/03/2013,5280,662,1,0,0,0
1103,6,20/07/2013,3828,294,1,0,0,1
392,4,17/10/2013,5411,635,1,0,0,0
621,7,02/03/2014,0,0,0,0,0,0
447,7,09/06/2013,0,0,0,0,0,0
1025,3,19/06/2013,7619,911,1,1,0,0
535,4,30/05/2013,0,0,0,1,a,0
607,4,30/01/2014,2863,379,1,0,0,0
379,4,06/11/2014,4360,496,1,1,0,1
58,7,24/05/2015,0,0,0,0,0,0
900,3,25/12/2013,0,0,0,0,c,1
319,7,15/03/2015,0,0,0,0,0,0
233,1,15/07/2013,12894,1215,1,1,0,1
1097,5,22/03/2013,9383,2381,1,1,0,1
39,2,12/11/2013,3681,509,1,0,0,0
937,7,21/04/2013,0,0,0,0,0,0
333,3,08/04/2015,10329,1360,1,0,0,0
559,1,01/09/2014,10774,1216,1,1,0,1
235,7,25/08/2013,0,0,0,0,0,0
716,6,31/01/2015,6326,512,1,0,0,0
781,4,25/06/2015,4100,592,1,0,0,0
959,3,16/07/2014,8754,830,1,1,0,1
705,6,16/05/2015,5201,610,1,0,0,0
1096,6,24/05/2014,4671,549,1,0,0,0
347,5,17/05/2013,5368,420,1,1,0,0
252,4,14/08/2014,8552,724,1,0,0,1
1033,7,28/04/2013,0,0,0,0,0,0
935,7,28/04/2013,0,0,0,0,0,0
752,6,26/07/2014,2954,274,1,0,0,0
44,2,27/08/2013,6381,689,1,1,0,0
588,6,18/04/2015,4976,526,1,0,0,0
1073,7,02/06/2013,0,0,0,0,0,0
220,2,22/04/2014,4766,673,1,0,0,1
959,3,16/04/2014,8594,914,1,1,0,1
979,6,01/03/2014,5653,651,1,0,0,0
632,2,23/06/2015,6286,853,1,0,0,0
854,2,24/06/2014,4551,496,1,0,0,0
857,1,18/05/2015,9406,1007,1,1,0,0
209,5,08/02/2013,5926,607,1,1,0,0
479,3,31/12/2014,4643,643,1,0,0,1
445,6,01/06/2013,11261,1847,1,0,0,0
17,1,25/02/2013,4582,641,1,0,0,0
281,7,08/02/2015,0,0,0,0,0,0
81,6,11/05/2013,8727,689,1,0,0,0
405,7,18/05/2014,0,0,0,0,0,0
392,7,31/03/2013,0,0,0,0,0,0
185,3,18/12/2013,10427,692,1,1,0,0
1040,6,07/06/2014,7242,735,1,0,0,0
431,5,19/07/2013,10430,1112,1,1,0,0
917,2,26/05/2015,7216,793,1,0,0,1
327,5,27/09/2013,6812,855,1,1,0,0
313,2,24/03/2015,5003,530,1,0,0,0
661,4,29/05/2014,0,0,0,0,a,0
943,7,26/01/2014,0,0,0,0,0,0
449,3,19/02/2014,11810,1631,1,1,0,0
742,4,27/11/2014,8104,875,1,1,0,0
998,7,05/07/2015,0,0,0,0,0,0
662,7,07/04/2013,0,0,0,0,0,0
412,3,29/07/2015,10413,700,1,1,0,0
158,5,01/11/2013,0,0,0,0,a,0
1096,6,07/12/2013,4931,574,1,0,0,0
151,4,18/12/2014,9709,810,1,1,0,0
663,2,29/10/2013,3839,591,1,0,0,1
663,6,31/05/2014,5297,732,1,0,0,0
477,7,05/04/2015,0,0,0,0,0,0
420,7,31/03/2013,0,0,0,0,0,0
805,4,22/01/2015,4091,410,1,0,0,0
69,6,28/06/2014,7203,966,1,0,0,0
46,4,05/06/2014,6134,709,1,1,0,0
676,7,13/07/2014,13900,2205,1,0,0,0
1055,3,07/08/2013,5836,858,1,0,0,0
250,4,15/01/2015,9345,706,1,1,0,0
1107,4,04/04/2013,4368,598,1,0,0,1
202,5,21/02/2014,6811,538,1,1,0,0
363,1,28/04/2014,9037,1107,1,1,0,0
69,6,04/10/2014,10459,1341,1,0,0,0
861,2,19/03/2013,6464,845,1,1,0,0
963,5,11/01/2013,9809,951,1,1,0,0
682,1,13/05/2013,16240,2193,1,1,0,0
819,5,18/10/2013,5099,501,1,0,0,1
24,2,05/02/2013,10655,930,1,1,0,0
898,2,14/04/2015,10009,975,1,1,0,0
576,1,02/09/2013,4952,824,1,0,0,0
744,4,30/07/2015,8435,866,1,1,0,0
614,2,08/04/2014,6098,927,1,0,0,0
504,6,30/05/2015,7919,1065,1,0,0,0
607,7,08/06/2014,0,0,0,0,0,0
797,6,30/11/2013,4228,429,1,0,0,0
349,7,15/03/2015,0,0,0,0,0,0
180,5,14/11/2014,7123,841,1,1,0,0
451,4,24/04/2014,4079,375,1,0,0,1
905,1,04/02/2013,15423,1885,1,1,0,0
1015,3,15/01/2014,4861,437,1,0,0,0
485,2,26/05/2015,5619,461,1,0,0,1
870,2,02/12/2014,8639,962,1,1,0,0
784,7,09/11/2014,0,0,0,0,0,0
328,6,23/05/2015,2881,308,1,0,0,0
475,5,31/05/2013,9279,1365,1,1,0,0
479,4,13/02/2014,8937,1150,1,0,0,0
744,1,24/03/2014,6596,783,1,0,0,0
808,4,02/07/2015,8787,661,1,1,0,0
734,7,19/04/2015,0,0,0,0,0,0
954,1,29/09/2014,11121,1162,1,1,0,0
1051,1,20/01/2014,10457,1264,1,1,0,0
610,1,07/10/2013,8030,749,1,1,0,0
565,2,26/02/2013,5144,716,1,0,0,0
1051,3,11/03/2015,6781,972,1,0,0,0
860,1,05/08/2013,4995,699,1,0,0,0
998,1,25/11/2013,3858,522,1,0,0,0
652,1,30/06/2014,12700,1015,1,1,0,0
899,5,01/08/2014,6513,635,1,1,0,1
450,7,29/12/2013,0,0,0,0,0,0
753,4,18/12/2014,12945,967,1,1,0,0
962,7,10/05/2015,0,0,0,0,0,0
988,6,17/01/2015,3440,535,1,0,0,0
358,7,22/06/2014,0,0,0,0,0,0
735,3,05/11/2014,7389,662,1,1,0,0
312,7,08/06/2014,0,0,0,0,0,0
563,3,04/06/2014,6471,728,1,1,0,0
831,3,14/01/2015,13665,1625,1,1,0,0
1069,7,07/04/2013,0,0,0,0,0,0
772,7,10/03/2013,0,0,0,0,0,0
623,4,07/03/2013,8142,898,1,1,0,0
766,5,20/09/2013,4890,483,1,0,0,0
45,7,20/01/2013,0,0,0,0,0,0
1115,1,18/02/2013,7580,469,1,1,0,0
359,3,10/06/2015,5695,509,1,0,0,0
227,5,04/04/2014,6656,657,1,1,0,0
629,2,24/03/2015,4093,402,1,0,0,0
1096,6,06/12/2014,5655,637,1,0,0,0
853,5,13/09/2013,9958,1106,1,1,0,0
200,6,04/10/2014,7548,979,1,0,0,0
720,3,13/02/2013,6124,737,1,0,0,0
414,7,11/08/2013,0,0,0,0,0,1
849,7,16/02/2014,0,0,0,0,0,0
310,2,30/12/2014,10210,880,1,0,0,1
93,4,16/01/2014,4470,550,1,0,0,0
882,2,05/03/2013,9890,1276,1,1,0,0
181,1,25/03/2013,9846,946,1,1,0,1
67,6,19/01/2013,4505,507,1,0,0,0
697,1,09/09/2013,13221,1182,1,1,0,0
568,5,24/07/2015,4878,394,1,0,0,0
287,3,21/01/2015,6495,671,1,0,0,0
48,4,06/02/2014,4416,480,1,1,0,0
86,1,27/07/2015,5524,610,1,1,0,1
351,3,21/08/2013,3751,404,1,0,0,1
356,2,22/04/2014,5068,426,1,0,0,1
717,7,27/04/2014,0,0,0,0,0,0
541,4,10/04/2014,5123,721,1,0,0,0
663,6,09/11/2013,4647,688,1,0,0,0
383,5,19/04/2013,15150,2056,1,0,0,0
760,6,31/05/2014,10127,1581,1,0,0,0
273,6,27/06/2015,5906,598,1,0,0,0
35,6,23/03/2013,7164,596,1,0,0,0
1081,3,12/02/2014,6604,1126,1,0,0,0
607,7,28/09/2014,0,0,0,0,0,0
501,1,21/01/2013,6640,621,1,1,0,0
221,5,25/10/2013,6068,620,1,1,0,0
669,5,25/01/2013,4505,426,1,1,0,0
482,7,21/06/2015,0,0,0,0,0,0
104,4,04/07/2013,9489,1239,1,1,0,1
535,3,24/12/2014,4834,585,1,0,0,1
927,6,13/12/2014,6811,950,1,0,0,0
539,7,18/01/2015,0,0,0,0,0,0
884,7,12/04/2015,0,0,0,0,0,0
73,3,14/01/2015,4867,516,1,1,0,0
381,2,12/08/2014,7239,861,1,0,0,1
168,6,11/07/2015,5200,510,1,0,0,0
584,4,31/07/2014,5542,477,1,1,0,0
960,4,14/03/2013,5067,448,1,0,0,0
1048,1,19/01/2015,4823,413,1,0,0,0
293,1,18/03/2013,10026,1142,1,1,0,0
356,3,26/03/2014,4650,386,1,0,0,0
876,5,25/10/2013,7687,906,1,1,0,1
742,4,17/04/2014,10096,1089,1,1,0,1
443,1,03/02/2014,7669,644,1,1,0,0
1057,3,28/08/2013,5792,611,1,1,0,0
284,2,17/02/2015,6168,452,1,1,0,1
1026,4,21/05/2015,9597,1141,1,1,0,0
31,4,14/05/2015,0,0,0,0,a,0
323,4,21/08/2014,7464,626,1,1,0,1
619,3,08/04/2015,4031,414,1,0,0,1
614,1,17/03/2014,7834,1017,1,1,0,0
960,7,22/09/2013,0,0,0,0,0,0
821,3,07/01/2015,7243,861,1,1,0,0
690,4,18/04/2013,3899,650,1,0,0,0
244,7,21/06/2015,0,0,0,0,0,0
297,7,09/06/2013,0,0,0,0,0,0
78,6,18/07/2015,2438,325,1,0,0,0
369,3,11/09/2013,7593,598,1,1,0,0
779,3,16/10/2013,5451,604,1,0,0,0
318,5,08/11/2013,9596,818,1,1,0,0
10,2,07/07/2015,5476,597,1,0,0,0
657,7,26/05/2013,0,0,0,0,0,0
486,1,01/06/2015,7318,745,1,1,0,0
358,1,24/03/2014,7960,1022,1,0,0,0
847,6,25/10/2014,6142,965,1,0,0,0
999,7,04/01/2015,0,0,0,0,0,0
732,5,10/04/2015,6098,702,1,0,0,1
624,6,07/03/2015,4490,420,1,0,0,0
447,5,14/06/2013,5500,645,1,0,0,0
83,4,01/05/2014,0,0,0,1,a,0
1071,6,23/11/2013,4408,588,1,0,0,0
895,1,06/04/2015,0,0,0,0,b,1
251,2,29/01/2013,14996,2067,1,0,0,0
788,4,21/11/2013,19572,1899,1,1,0,0
361,4,18/07/2013,6505,663,1,1,0,1
1077,2,06/05/2014,5355,544,1,1,0,0
976,5,04/01/2013,6635,727,1,0,0,1
167,3,15/04/2015,11572,1285,1,1,0,0
310,7,12/05/2013,2312,244,1,0,0,0
670,2,05/11/2013,8712,839,1,1,0,0
758,1,02/06/2014,7110,807,1,1,0,0
794,7,05/04/2015,0,0,0,0,0,0
429,1,10/02/2014,3538,351,1,0,0,0
346,5,20/03/2015,7736,675,1,1,0,0
967,4,30/07/2015,9761,909,1,1,0,1
997,6,21/09/2013,4003,363,1,0,0,0
418,1,09/09/2013,8497,748,1,1,0,0
807,2,30/04/2013,13476,1241,1,1,0,0
812,6,25/04/2015,2863,347,1,0,0,0
342,3,15/05/2013,10240,805,1,1,0,0
569,5,11/01/2013,4449,647,1,1,0,0
685,3,11/03/2015,4335,505,1,0,0,0
913,3,30/07/2014,10935,1305,1,1,0,1
568,7,29/12/2013,0,0,0,0,0,1
952,1,09/09/2013,9496,655,1,1,0,1
1104,6,10/01/2015,5420,469,1,0,0,0
383,3,29/01/2014,13838,1863,1,0,0,0
1020,2,15/04/2014,11022,1292,1,1,0,1
547,6,16/03/2013,4205,372,1,0,0,0
759,6,08/02/2014,4694,531,1,0,0,0
620,6,09/05/2015,10193,888,1,0,0,0
906,3,08/04/2015,9434,1161,1,0,0,1
275,1,03/03/2014,11271,1019,1,1,0,1
125,1,28/01/2013,10545,1491,1,0,0,0
32,6,01/03/2014,2142,279,1,0,0,0
759,2,02/06/2015,9799,898,1,1,0,0
114,6,01/02/2014,5589,708,1,0,0,0
81,3,12/03/2014,5084,458,1,0,0,0
802,4,19/03/2015,7029,534,1,1,0,0
1020,5,31/01/2014,8489,1065,1,0,0,0
1033,2,21/05/2013,14040,1453,1,0,0,1
460,2,19/08/2014,5259,458,1,1,0,1
96,2,02/06/2015,8839,780,1,1,0,0
174,6,18/07/2015,5783,487,1,0,0,0
568,1,25/03/2013,4915,423,1,1,0,1
528,6,18/10/2014,7720,808,1,0,0,0
